region,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,winter,summer,monsoon,post_monsoon,annual_calc
ARUNACHAL PRADESH,2015,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,2767.5,78.3,623.5,1936.9,128.8,78.3,623.5,1936.9,128.8,2767.5
ASSAM & MEGHALAYA,1901,27.1,19.5,30.6,223.0,207.0,524.9,430.6,464.1,291.4,163.7,115.6,1.2,2498.6,46.6,460.5,1710.9,280.5,46.6,460.6,1711.0,280.49999999999994,2498.6999999999994
ASSAM & MEGHALAYA,1902,9.3,10.2,105.6,350.0,262.1,620.7,510.8,536.0,441.3,97.0,7.8,1.3,2952.1,19.4,717.6,2108.9,106.2,19.5,717.7,2108.8,106.1,2952.1000000000004
ASSAM & MEGHALAYA,1903,19.9,25.4,103.6,140.6,206.6,607.4,362.7,551.9,306.4,159.5,59.3,1.3,2544.7,45.4,450.8,1828.5,220.1,45.3,450.79999999999995,1828.4,220.10000000000002,2544.6000000000004
ASSAM & MEGHALAYA,1904,11.1,56.1,51.9,457.1,375.2,385.7,477.6,438.8,245.9,115.9,46.4,2.5,2664.1,67.1,884.2,1548.0,164.8,67.2,884.2,1548.0,164.8,2664.2000000000007
ASSAM & MEGHALAYA,1905,19.9,16.9,137.9,213.0,275.5,521.7,439.1,649.1,276.0,200.0,16.8,24.8,2790.6,36.8,626.3,1886.0,241.6,36.8,626.4,1885.9,241.60000000000002,2790.7000000000003
ASSAM & MEGHALAYA,1906,9.7,59.2,88.4,263.5,271.3,388.4,541.8,585.9,264.2,165.7,24.9,0.2,2663.4,68.9,623.3,1780.4,190.8,68.9,623.2,1780.3,190.79999999999998,2663.1999999999994
ASSAM & MEGHALAYA,1907,55.8,37.2,109.7,254.8,213.7,509.8,578.9,304.2,401.0,37.6,4.8,13.8,2521.1,93.0,578.1,1793.8,56.2,93.0,578.2,1793.9,56.2,2521.3
ASSAM & MEGHALAYA,1908,16.2,25.1,20.7,176.6,332.7,390.8,477.2,339.4,403.4,91.9,3.8,0.0,2277.8,41.3,530.0,1610.8,95.7,41.3,530.0,1610.8000000000002,95.7,2277.8
ASSAM & MEGHALAYA,1909,19.0,8.9,4.4,195.0,310.4,639.4,345.0,445.2,216.4,162.4,24.6,6.3,2377.0,27.9,509.8,1646.0,193.3,27.9,509.79999999999995,1646.0,193.3,2377.0
ASSAM & MEGHALAYA,1910,9.2,32.1,152.8,211.5,274.6,582.5,738.3,418.3,247.8,199.7,16.2,4.3,2887.3,41.3,638.9,1986.9,220.2,41.3,638.9000000000001,1986.8999999999999,220.2,2887.3
ASSAM & MEGHALAYA,1911,74.2,19.0,93.0,234.0,431.7,534.0,618.6,417.1,387.8,257.4,26.3,3.0,3096.2,93.2,758.7,1957.5,286.8,93.2,758.7,1957.4999999999998,286.7,3096.1000000000004
ASSAM & MEGHALAYA,1912,9.0,57.8,126.1,301.0,250.2,482.7,567.0,453.4,236.8,181.5,68.4,9.5,2743.5,66.8,677.4,1739.9,259.5,66.8,677.3,1739.8999999999999,259.4,2743.4
ASSAM & MEGHALAYA,1913,11.9,90.2,118.4,334.2,392.3,458.6,438.0,354.0,279.2,227.7,10.4,45.6,2760.5,102.2,844.9,1529.7,283.7,102.10000000000001,844.9000000000001,1529.8,283.7,2760.4999999999995
